DemandLevel,Records,ActualDemand,AverageActual,AveragePrediction,MAE,Bias,WAPE
High (21-100),13225,543832.0,41.121512287334596,30.37527171824575,24.64101553624948,-10.746240569088844,59.92244488498274
Low (1-5),21159,49676.0,2.3477480032137623,9.902196537607153,7.5827067561756225,7.554448534393392,322.97788117787263
Medium (6-20),17188,193442.0,11.25447986967652,15.187978089242392,8.379419373154073,3.933498219565873,74.45407935493441
Very High (100+),2419,560653.0,231.7705663497313,68.83712401720233,175.37976851860145,-162.93344233252898,75.66956032456741
Zero,49273,0.0,0.0,7.098665497447856,7.098665497447856,7.098665497447856,inf
