StockCode,Observations,AveragePrice_INR,AverageDemand,MedianDemand,MinPrice_INR,MaxPrice_INR,PriceVariationPct,Elasticity,Elasticity_R2,Intercept,ElasticityType,Confidence
82582,738,249.0246386630533,10.323848238482384,1.0,169.0,430.0,154.4378698224852,-1.4284354546517517,0.07265878747649823,9.12383522787863,Elastic,Low
84029E,738,528.2600508218335,15.914634146341463,0.0,295.0,1313.0,345.08474576271186,-1.4236317067199689,0.09023603012445158,10.034323439661584,Elastic,Low
22668,519,407.38432883750806,6.913294797687861,2.0,255.0,591.0,131.76470588235293,-1.4140427593875482,0.11441279459388609,9.655517419876283,Elastic,Medium
84270,370,24.984691119691117,61.95945945945946,30.0,16.0,43.0,168.75,-1.411924510204629,0.0286558126610984,6.9042111593913535,Elastic,Low
22560,624,139.076903998779,24.299679487179485,3.0,106.0,251.0,136.7924528301887,-1.4082186389053974,0.032089915381210754,8.688642115734176,Elastic,Low
21931,738,256.15474094203233,39.9349593495935,20.0,165.0,506.0,206.66666666666669,-1.4052972346696997,0.046305739565573156,10.413699003625311,Elastic,Low
22741,435,106.99931034482758,24.636781609195403,0.0,78.5,166.0,111.46496815286623,-1.4038970535299207,0.04068318646392555,8.08174288672246,Elastic,Low
21231,737,155.55963477574738,26.67706919945726,10.0,106.0,257.0,142.45283018867926,-1.403671495616988,0.0408195414782726,9.052740601733364,Elastic,Low
21240,737,110.52026232473996,10.306648575305292,2.0,72.0,251.0,248.61111111111111,-1.3980160867415645,0.08513294997024023,7.87289140119294,Elastic,Low
21787,624,105.83408119658121,24.227564102564102,0.0,65.0,166.0,155.3846153846154,-1.3958938163033905,0.056740297940764295,7.739130636133653,Elastic,Low
22593,511,117.552422886963,11.262230919765166,0.0,72.0,166.0,130.55555555555557,-1.3852138771702232,0.07104264558186046,7.61288918875508,Elastic,Low
22594,509,121.76639535971559,9.833005893909627,0.0,72.0,166.0,130.55555555555557,-1.3850710713491972,0.07826997886631004,7.626118594531888,Elastic,Low
21932,737,291.8384229971747,5.268656716417911,0.0,165.0,604.0,266.06060606060606,-1.3743981532861202,0.1547351313482288,8.587610635185,Elastic,Medium
84970S,738,122.50911676775499,33.34146341463415,12.0,64.0,217.0,239.0625,-1.3639624599818954,0.08531939019699464,8.774230480909466,Elastic,Low
15056BL,738,743.102245451026,12.218157181571815,1.5,425.0,1300.0,205.88235294117646,-1.355908580223314,0.10096804894540778,10.126422975384445,Elastic,Medium
82552,737,159.91610131162372,9.545454545454545,1.0,106.0,257.0,142.45283018867926,-1.352335420426473,0.052091884818799006,8.059327416208829,Elastic,Low
82484,607,786.961532125206,18.194398682042834,5.0,480.0,1663.0,246.45833333333331,-1.350815479107698,0.05002445221466145,10.651855586543675,Elastic,Low
22804,441,319.71466004391175,12.00907029478458,3.0,197.5,579.0,193.16455696202533,-1.3503808330750415,0.03604087447191806,9.261970395875956,Elastic,Low
22910,446,363.6393566689481,43.82062780269058,0.0,255.0,663.0,160.0,-1.344244457823082,0.03655259104066455,9.677780505463478,Elastic,Low
22386,679,240.42269434070442,57.62739322533137,26.0,165.0,506.0,206.66666666666669,-1.3407022486580624,0.03374107263968784,10.218099368881258,Elastic,Low
22662,508,199.72671285407503,19.755905511811022,10.0,145.0,421.0,190.3448275862069,-1.3326921637917228,0.0632247169443666,9.008998523050897,Elastic,Low
22418,582,103.30657011945672,21.867697594501717,1.0,72.0,246.0,241.66666666666666,-1.327671447157668,0.0431143424468412,7.840468213822974,Elastic,Low
84568,738,36.61811201445347,50.27506775067751,0.0,17.0,43.0,152.94117647058823,-1.3262880373221653,0.048908874121522894,5.778690338197773,Elastic,Low
22065,738,233.14219576719577,11.83739837398374,0.0,39.0,343.0,779.4871794871794,-1.3243567470726023,0.2844018106099999,7.79606867384928,Elastic,High
48184,737,860.1178652193578,6.435549525101764,1.0,458.0,1579.0,244.7598253275109,-1.323864080570954,0.07388068095527267,9.954667715778998,Elastic,Low
21108,738,339.05303264937413,17.68428184281843,0.0,79.0,517.0,554.4303797468355,-1.3147965423173313,0.17776348353196025,8.634431695350694,Elastic,Medium
84970L,738,132.46502129307007,22.577235772357724,8.0,79.0,217.0,174.68354430379748,-1.3043933240728052,0.06279070762101013,8.205959937508501,Elastic,Low
84949,737,191.98037087290817,16.485753052917232,1.0,145.0,343.0,136.55172413793105,-1.3007080655561272,0.044092470000360984,8.226030288409435,Elastic,Low
21977,738,70.73224476141142,76.72357723577235,29.0,41.0,208.0,407.3170731707317,-1.300437169879014,0.035706044763977984,8.394346272605613,Elastic,Low
20972,738,141.80307151069348,28.050135501355015,12.0,106.0,257.0,142.45283018867926,-1.300337409868176,0.024361580436743746,8.552529210898324,Elastic,Low
21933,736,288.5610699875306,5.601902173913044,0.0,165.0,591.0,258.1818181818182,-1.294592278488026,0.12704042146242056,8.114253212925686,Elastic,Medium
22090,737,372.10386627108045,22.506105834464044,9.0,200.0,677.0,238.49999999999997,-1.2925572637826304,0.04666552015905345,9.707298123086039,Elastic,Low
21122,738,134.84214092140923,17.008130081300813,2.0,106.0,251.0,136.7924528301887,-1.2914605785214184,0.01832269460652669,7.905387833920999,Elastic,Low
21121,738,136.7607723577236,20.9579945799458,3.0,106.0,251.0,136.7924528301887,-1.2856523879592558,0.02104507822930035,8.036452010449008,Elastic,Low
20749,738,816.2616531165311,4.144986449864499,1.0,635.0,1735.0000000000002,173.22834645669295,-1.2853043450993975,0.035121726987657365,9.561236026152338,Elastic,Low
21746,728,163.18106684981686,8.122252747252746,0.0,106.0,295.0,178.30188679245282,-1.2845101013019646,0.07956745647882169,7.495929971874278,Elastic,Low
21523,738,936.5058932335354,9.502710027100271,2.0,458.0,1698.0,270.74235807860265,-1.283451762282796,0.08099073455752104,9.999366368302582,Elastic,Low
84947,737,148.63903857336695,21.765264586160107,1.0,106.0,257.0,142.45283018867926,-1.282448866567189,0.04280842947245522,7.93244373839117,Elastic,Low
21238,738,105.86099496709252,12.792682926829269,4.0,72.0,251.0,248.61111111111111,-1.2780466432300792,0.05457149637453185,7.46266706153914,Elastic,Low
21509,736,51.24607407192126,11.960597826086957,0.0,36.0,86.0,138.88888888888889,-1.2774372148629833,0.052223971735189,6.352531391859641,Elastic,Low
22348,738,108.60825590398761,16.87940379403794,3.0,72.0,195.0,170.83333333333331,-1.27595147191719,0.04536948645625283,7.530178321693381,Elastic,Low
